scenario	model	held_out_domain	fold_index	train_n	test_n	test_responders	test_non_responders	selected_features	pseudocount	best_params	inner_group_cv_auc	roc_auc	pr_auc	brier	balanced_accuracy	sensitivity	specificity	log_loss
S2_BCN12_AS_NR	random_forest	Lee_Barcelona	3	351	12	5	7	479	5.636676092694479e-08	"{""max_features"": 0.3, ""min_samples_leaf"": 5}"	0.5643443777558385	0.4	0.4375757575757575	0.2947926968970759	0.5714285714285714	1.0	0.14285714285714285	0.7871887705114773
S2_BCN12_AS_NR	random_forest	Lee_Leeds	4	345	18	10	8	483	5.636676092694479e-08	"{""max_features"": ""sqrt"", ""min_samples_leaf"": 5}"	0.5434958981505802	0.4625	0.5548919054801409	0.2546797121024065	0.5125	0.9	0.125	0.7032097969506886
S2_BCN12_AS_NR	random_forest	Lee_Manchester	5	338	25	12	13	483	1.0246076956443401e-07	"{""max_features"": 0.3, ""min_samples_leaf"": 5}"	0.5364131370567875	0.47435897435897434	0.5029833227201648	0.2641953144505074	0.4967948717948718	0.9166666666666666	0.07692307692307693	0.7231335667276969
S2_BCN12_AS_NR	random_forest	Lee_PRIMM_NL	6	308	55	33	22	483	5.636676092694479e-08	"{""max_features"": 0.3, ""min_samples_leaf"": 5}"	0.4730777296692421	0.556473829201102	0.6471222044191877	0.23770856065697407	0.5303030303030303	0.8787878787878788	0.18181818181818182	0.6683909773941434
S2_BCN12_AS_NR	random_forest	Lee_PRIMM_UK	7	309	54	33	21	469	5.636676092694479e-08	"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2}"	0.4922479888726037	0.6233766233766234	0.7552078012634054	0.2279878739360374	0.551948051948052	0.8181818181818182	0.2857142857142857	0.6455215221283986
S2_BCN12_AS_NR	random_forest	Matson_US	8	325	38	14	24	489	5.636676092694479e-08	"{""max_features"": ""sqrt"", ""min_samples_leaf"": 5}"	0.5629620045806725	0.33035714285714285	0.30442821750967436	0.30698075372128014	0.39880952380952384	0.7142857142857143	0.08333333333333333	0.8120659853931994
S2_BCN12_AS_NR	random_forest	Spencer_US	9	266	97	71	26	500	5.636676092694479e-08	"{""max_features"": 0.3, ""min_samples_leaf"": 5}"	0.5673129407064537	0.5985915492957746	0.7920849913494139	0.28303620401197377	0.5216684723726978	0.19718309859154928	0.8461538461538461	0.7615183098549924
S3_EXCLUDE_LEE_SITES	elastic_net	Frankel_US	1	287	39	24	15	466	1.0642079206864884e-07	"{""C"": 0.05, ""l1_ratio"": 0.75}"	0.5756554046592796	0.4916666666666667	0.6077992550371203	0.2910240302039565	0.4875	0.375	0.6	0.7843981565519338
S3_EXCLUDE_LEE_SITES	elastic_net	Gopalakrishnan_US	2	301	25	14	11	482	1.0642079206864884e-07	"{""C"": 1.0, ""l1_ratio"": 0.75}"	0.5252795060012752	0.42857142857142855	0.5406477440154344	0.4283829660428934	0.42207792207792205	0.5714285714285714	0.2727272727272727	1.917931840310619
S3_EXCLUDE_LEE_SITES	elastic_net	Lee_Leeds	3	308	18	10	8	474	1.0642079206864884e-07	"{""C"": 0.05, ""l1_ratio"": 0.75}"	0.5860398712265957	0.5249999999999999	0.6717759528053645	0.25172668417458777	0.55	0.6	0.5	0.6965515193738478
