permutation_index	lodo_roc_auc	losfo_roc_auc
55	0.4575153083769964	0.4768638343538918
56	0.43292721419102337	0.4701723376049492
57	0.5505334259200809	0.5310902089514551
58	0.46534309702670285	0.4629758222334449
59	0.4924247206615744	0.4788839088441387
60	0.4433116596174484	0.4628180039138944
61	0.5478189508238116	0.5234833659491195
62	0.41531468972918384	0.4799886370809924
63	0.514203648759548	0.4923615933337541
64	0.5113944826715485	0.5456094943501042
65	0.34555899248784794	0.39154725080487346
66	0.5799507606843002	0.522189255728805
67	0.4753803421501168	0.448235591187425
68	0.5245880941859731	0.5373398144056563
69	0.43043368474212484	0.46004040148980496
70	0.5256612587589167	0.5139827031121773
71	0.44788839088441385	0.43428445173915786
72	0.48194558424341905	0.47607474275613915
73	0.3945457988763336	0.43564168928729247
74	0.42819266460450733	0.4031626791237927
75	0.5042295309639543	0.4849756959787892
76	0.44170191275803294	0.46212360330787194
77	0.4150621804179029	0.462123603307872
78	0.4445426425099425	0.4570418534183448
79	0.5570039770216527	0.5291963891168487
80	0.4688466637207247	0.4506975569724134
81	0.5148664857016603	0.5121835742693012
82	0.5116785556467395	0.5553942301622372
83	0.361530206426362	0.41064326747048796
84	0.511236664351998	0.4495297014077394
85	0.49116217410517016	0.5280285335521747
86	0.5539107379584622	0.5400227258380152
87	0.5290385707972982	0.5788775961113566
88	0.4198282936683291	0.4273720093428445
89	0.5009153462533931	0.5031248027271006
90	0.44040780253771855	0.40821286534940976
91	0.4581150179912884	0.48686951581339566
92	0.5262294047092987	0.49652799696988825
93	0.40761315573511775	0.44605769837762776
94	0.5094690991730321	0.4827346758411716
95	0.48491256865096904	0.46692128022220825
96	0.4283504829240578	0.44447951518212236
97	0.46802600845906195	0.49128842876081064
98	0.39385139827031124	0.39703932832523203
99	0.514203648759548	0.5361719588409822
100	0.5327630831386907	0.5051133135534372
101	0.5249668581528943	0.5324158828356795
102	0.5037560760053027	0.5081749889527176
103	0.48671169749384513	0.499400290385708
104	0.4225427687645982	0.4738652862824317
105	0.48226122088252005	0.47291837636512846
106	0.46114512972665866	0.43267470487974247
107	0.5570671043494728	0.49030995517959725
108	0.415093744081813	0.4500662836942112
109	0.5457041853418345	0.49854807146013513
110	0.48784798939460894	0.4812511836373966
111	0.4487406098099868	0.4645224417650401
112	0.47875765418849825	0.5047345495865161
113	0.5311848999431854	0.5059339688151001
114	0.583454327378322	0.5561517580960798
115	0.439934347579067	0.4296761568082823
116	0.5261031500536583	0.50299854807146
117	0.5398964711823749	0.5373713780695664
118	0.48361845843065465	0.520390126885929
119	0.4528123224543905	0.41610378132693643
120	0.4475096269174925	0.44255413168360586
121	0.51183637396629	0.5151821223407613
