feature_cap	train_domain	test_domain	train_n	test_n	train_responders	test_responders	selected_features	pseudocount	roc_auc	pr_auc	brier
25	Spencer_US	Lee_Manchester	97	25	71	12	25	5.144767586148716e-07	0.26923076923076916	0.38765708769999385	0.28895542974712857
25	Spencer_US	Lee_PRIMM_NL	97	55	71	33	25	5.144767586148716e-07	0.4008264462809918	0.5916771865261383	0.28015724062321634
25	Spencer_US	Lee_PRIMM_UK	97	54	71	33	25	5.144767586148716e-07	0.6320346320346321	0.7069661809801864	0.25131287552236425
25	Spencer_US	Matson_US	97	38	71	14	25	5.144767586148716e-07	0.5535714285714286	0.41326649271133326	0.2588838102592988
50	Frankel_US	Gopalakrishnan_US	39	25	24	14	50	1.6488298996136508e-07	0.5	0.660124973642463	0.2492084941100974
50	Frankel_US	Lee_Barcelona	39	12	24	6	50	1.6488298996136508e-07	0.6111111111111112	0.7575757575757576	0.23634084859523105
50	Frankel_US	Lee_Leeds	39	18	24	10	50	1.6488298996136508e-07	0.525	0.7075809811103928	0.27091826623327564
50	Frankel_US	Lee_Manchester	39	25	24	12	50	1.6488298996136508e-07	0.34615384615384615	0.4265513411646808	0.2973490970120606
50	Frankel_US	Lee_PRIMM_NL	39	55	24	33	50	1.6488298996136508e-07	0.42011019283746553	0.5995296512615214	0.3077626196909133
50	Frankel_US	Lee_PRIMM_UK	39	54	24	33	50	1.6488298996136508e-07	0.41847041847041844	0.5933378105779394	0.31717695209124347
50	Frankel_US	Matson_US	39	38	24	14	50	1.6488298996136508e-07	0.33333333333333337	0.33781521696972683	0.30670864535307324
50	Frankel_US	Spencer_US	39	97	24	71	50	1.6488298996136508e-07	0.49458288190682553	0.7302878915268571	0.2624269305222618
50	Gopalakrishnan_US	Frankel_US	25	39	14	24	50	2.5004030649745586e-07	0.5777777777777778	0.6561198198400351	0.25002057899982955
50	Gopalakrishnan_US	Lee_Barcelona	25	12	14	6	50	2.5004030649745586e-07	0.3611111111111111	0.49903799903799906	0.26815594939170695
50	Gopalakrishnan_US	Lee_Leeds	25	18	14	10	50	2.5004030649745586e-07	0.5625	0.6588360169242522	0.2446326159831913
50	Gopalakrishnan_US	Lee_Manchester	25	25	14	12	50	2.5004030649745586e-07	0.6987179487179487	0.7037640409699234	0.23894646846462758
50	Gopalakrishnan_US	Lee_PRIMM_NL	25	55	14	33	50	2.5004030649745586e-07	0.6005509641873278	0.7134836128692197	0.2500859838075968
50	Gopalakrishnan_US	Lee_PRIMM_UK	25	54	14	33	50	2.5004030649745586e-07	0.5555555555555556	0.6594701109100234	0.2549362106491052
50	Gopalakrishnan_US	Matson_US	25	38	14	14	50	2.5004030649745586e-07	0.5803571428571428	0.4238770513339408	0.2511287490629946
50	Gopalakrishnan_US	Spencer_US	25	97	14	71	50	2.5004030649745586e-07	0.41657638136511377	0.6995670255037321	0.273143225630143
50	Lee_Barcelona	Frankel_US	12	39	6	24	50	1.0246076956438827e-07	0.26388888888888884	0.5230762030546153	0.27129728213258275
50	Lee_Barcelona	Gopalakrishnan_US	12	25	6	14	50	1.0246076956438827e-07	0.525974025974026	0.6723309844359351	0.25293810878485035
50	Lee_Barcelona	Lee_Leeds	12	18	6	10	50	1.0246076956438827e-07	0.5375	0.6614141414141413	0.24649915091972163
50	Lee_Barcelona	Lee_Manchester	12	25	6	12	50	1.0246076956438827e-07	0.3846153846153846	0.4915235428822385	0.2630426887420835
50	Lee_Barcelona	Lee_PRIMM_NL	12	55	6	33	50	1.0246076956438827e-07	0.4600550964187327	0.6130123192278016	0.26568951588642553
50	Lee_Barcelona	Lee_PRIMM_UK	12	54	6	33	50	1.0246076956438827e-07	0.5151515151515151	0.6923826452300804	0.25344434667582855
50	Lee_Barcelona	Matson_US	12	38	6	14	50	1.0246076956438827e-07	0.42857142857142855	0.5590839944022401	0.2630895402453605
