scenario	analysis_level	group	species	effect_type	n	responders	non_responders	prevalence	responder_prevalence	non_responder_prevalence	pseudocount	effect	variance	se	ci_low	ci_high	responder_mean	non_responder_mean
PRIMARY	domain	Frankel_US	s__Alistipes_putredinis	CLR_HEDGES_G	39	24	15	1.0	1.0	1.0	1.13823473906e-07	0.5975985812321091	0.11315933420212564	0.33639163812753375	-0.06172902949785708	1.2569261919620751	9.733925985734274	8.121064956754257
PRIMARY	domain	Frankel_US	s__Alistipes_senegalensis	CLR_HEDGES_G	39	24	15	0.15384615384615385	0.125	0.2	1.13823473906e-07	-0.23233951313332812	0.10906281508148241	0.33024659738062767	-0.8796228439993583	0.41494381773270206	0.044460015200517046	0.6844683834884356
PRIMARY	domain	Frankel_US	s__Alistipes_senegalensis	PRESENCE_LOG_OR	39	24	15	0.15384615384615385	0.125	0.2	1.13823473906e-07	-0.5596157879354228	0.7976190476190476	0.8930952063576691	-2.3100823923964544	1.1908508165256086		
PRIMARY	domain	Frankel_US	s__Alistipes_shahii	CLR_HEDGES_G	39	24	15	0.8717948717948718	0.875	0.8666666666666667	1.13823473906e-07	0.2405505595517706	0.109115287004964	0.33032603137652355	-0.40688846194621553	0.8879895810497568	7.448071702615175	6.4824263869148115
PRIMARY	domain	Frankel_US	s__Alistipes_shahii	PRESENCE_LOG_OR	39	24	15	0.8717948717948718	0.875	0.8666666666666667	1.13823473906e-07	0.07410797215372183	0.9578754578754578	0.978711120747822	-1.8441658245120092	1.992381768819453		
PRIMARY	domain	Frankel_US	s__Allisonella_histaminiformans	CLR_HEDGES_G	39	24	15	0.1282051282051282	0.125	0.13333333333333333	1.13823473906e-07	-0.005827671194056364	0.1083337922759218	0.32914099148529313	-0.6509440145052309	0.6392886721171182	0.2069476693956774	0.2233155189227577
PRIMARY	domain	Frankel_US	s__Allisonella_histaminiformans	PRESENCE_LOG_OR	39	24	15	0.1282051282051282	0.125	0.13333333333333333	1.13823473906e-07	-0.07410797215372185	0.9578754578754578	0.978711120747822	-1.992381768819453	1.8441658245120092		
PRIMARY	domain	Frankel_US	s__Alloscardovia_omnicolens	CLR_HEDGES_G	39	24	15	0.15384615384615385	0.125	0.2	1.13823473906e-07	-0.19194138473941638	0.108831191376248	0.3298957280357659	-0.8385370116895174	0.45465424221068473	0.04239854383622862	0.562740674276511
PRIMARY	domain	Frankel_US	s__Alloscardovia_omnicolens	PRESENCE_LOG_OR	39	24	15	0.15384615384615385	0.125	0.2	1.13823473906e-07	-0.5596157879354228	0.7976190476190476	0.8930952063576691	-2.3100823923964544	1.1908508165256086		
PRIMARY	domain	Frankel_US	s__Amedibacillus_dolichus	CLR_HEDGES_G	39	24	15	0.358974358974359	0.2916666666666667	0.4666666666666667	1.13823473906e-07	-0.42752145680945897	0.11080326030674525	0.3328712368270128	-1.0799490809904042	0.22490616737148617	1.000577409342553	2.5276881999362235
PRIMARY	domain	Frankel_US	s__Amedibacillus_dolichus	PRESENCE_LOG_OR	39	24	15	0.358974358974359	0.2916666666666667	0.4666666666666667	1.13823473906e-07	-0.7537718023763802	0.4695378151260504	0.6852282941662949	-2.0968192589423182	0.5892756541895579		
PRIMARY	domain	Frankel_US	s__Anaerobutyricum_hallii	CLR_HEDGES_G	39	24	15	0.8717948717948718	0.9166666666666666	0.8	1.13823473906e-07	0.2813563093696778	0.10940308161471342	0.330761366569183	-0.36693596910592086	0.9296485878452765	7.289791085438224	6.147959435149145
PRIMARY	domain	Frankel_US	s__Anaerobutyricum_hallii	PRESENCE_LOG_OR	39	24	15	0.8717948717948718	0.9166666666666666	0.8	1.13823473906e-07	1.0116009116784799	0.9621212121212122	0.9808777763417887	-0.9109195299514261	2.934121353308386		
PRIMARY	domain	Frankel_US	s__Anaerobutyricum_soehngenii	CLR_HEDGES_G	39	24	15	0.7948717948717948	0.8333333333333334	0.7333333333333333	1.13823473906e-07	0.14527431842388866	0.10861853100351611	0.32957325589846653	-0.5006892631371058	0.791237899984883	6.893115072090704	6.221062823711159
PRIMARY	domain	Frankel_US	s__Anaerobutyricum_soehngenii	PRESENCE_LOG_OR	39	24	15	0.7948717948717948	0.8333333333333334	0.7333333333333333	1.13823473906e-07	0.5978370007556204	0.6409090909090909	0.8005679801922451	-0.9712762404211799	2.1669502419324207		
PRIMARY	domain	Frankel_US	s__Anaerococcus_SGB53821	CLR_HEDGES_G	39	24	15	0.23076923076923078	0.20833333333333334	0.26666666666666666	1.13823473906e-07	-0.1387014810462603	0.10859330766906883	0.3295349870181751	-0.7845900556018834	0.5071870935093628	0.8392519866248748	1.342153123718451
PRIMARY	domain	Frankel_US	s__Anaerococcus_SGB53821	PRESENCE_LOG_OR	39	24	15	0.23076923076923078	0.20833333333333334	0.26666666666666666	1.13823473906e-07	-0.3234001550538601	0.5935406698564594	0.7704159070634895	-1.8334153328982996	1.1866150227905794		
