scenario	model	domain_a	domain_b	auc_a_to_b	auc_b_to_a	reciprocal_mean_auc	reciprocal_min_auc	reciprocal_max_auc	absolute_directional_asymmetry	train_size_difference_absolute	response_rate_difference_absolute	same_study_family	same_country	same_treatment_scope_group	aitchison_centroid_distance	bray_curtis_centroid_distance	jensen_shannon_distance	prevalence_l1_distance
PRIMARY	elastic_net	Lee_Leeds	Matson_US	0.34523809523809523	0.7375	0.5413690476190476	0.34523809523809523	0.7375	0.3922619047619048	20	0.18713450292397665	0	0	0	1.9771596498918715	0.5811823747640369	0.49020061089929295	0.07011311347150946
PRIMARY	elastic_net	Lee_Leeds	Spencer_US	0.4756229685807151	0.55	0.5128114842903576	0.4756229685807151	0.55	0.07437703141928492	79	0.1764032073310423	0	0	0	1.8343999907642503	0.5462421632104126	0.47054562970191266	0.0711516832773583
PRIMARY	elastic_net	Lee_Manchester	Lee_PRIMM_NL	0.5440771349862259	0.3141025641025641	0.429089849544395	0.3141025641025641	0.5440771349862259	0.2299745708836618	30	0.12	1	0	1	1.023240361097451	0.37225480323409776	0.3551927713469969	0.039582766439909295
PRIMARY	elastic_net	Lee_Manchester	Lee_PRIMM_UK	0.6176046176046177	0.3333333333333333	0.4754689754689755	0.3333333333333333	0.6176046176046177	0.2842712842712844	29	0.13111111111111118	1	1	1	0.9138188960887204	0.3284935922301878	0.31756491921131447	0.036730326698580666
PRIMARY	elastic_net	Lee_Manchester	Matson_US	0.4166666666666667	0.34615384615384615	0.3814102564102564	0.34615384615384615	0.4166666666666667	0.07051282051282054	13	0.11157894736842106	0	0	0	2.0526455035056514	0.652012344550797	0.5576993360744268	0.06928177586824205
PRIMARY	elastic_net	Lee_Manchester	Spencer_US	0.45828819068255683	0.3269230769230769	0.3926056338028169	0.3269230769230769	0.45828819068255683	0.1313651137594799	72	0.2519587628865979	0	0	0	1.9981247694722843	0.6634308562491238	0.5626092193735298	0.06764326624120438
PRIMARY	elastic_net	Lee_PRIMM_NL	Lee_PRIMM_UK	0.56998556998557	0.6597796143250688	0.6148825921553194	0.56998556998557	0.6597796143250688	0.08979404433949878	1	0.011111111111111183	1	0	1	0.979761610673823	0.2947752855170625	0.3098038865253837	0.039137100406941676
PRIMARY	elastic_net	Lee_PRIMM_NL	Matson_US	0.5595238095238095	0.36914600550964183	0.4643349075167257	0.36914600550964183	0.5595238095238095	0.1903778040141677	17	0.23157894736842105	0	0	0	2.151580063750936	0.7076207020813287	0.5984839380121251	0.06549751000878819
PRIMARY	elastic_net	Lee_PRIMM_NL	Spencer_US	0.5140845070422535	0.5068870523415977	0.5104857796919255	0.5068870523415977	0.5140845070422535	0.007197454700655803	42	0.1319587628865979	0	0	0	2.056853303314237	0.710936693632596	0.6077592582922652	0.059407540585743816
PRIMARY	elastic_net	Lee_PRIMM_UK	Matson_US	0.5148809523809523	0.49350649350649356	0.504193722943723	0.49350649350649356	0.5148809523809523	0.021374458874458768	16	0.24269005847953223	0	0	0	1.8534931918759978	0.6124204863537068	0.5259206807769226	0.06252182484429769
PRIMARY	elastic_net	Lee_PRIMM_UK	Spencer_US	0.5471289274106175	0.4314574314574315	0.4892931794340245	0.4314574314574315	0.5471289274106175	0.11567149595318599	43	0.12084765177548673	0	0	0	1.8951555363130812	0.6409902283621296	0.5444864834515294	0.06305335421682991
PRIMARY	elastic_net	Matson_US	Spencer_US	0.47616468039003246	0.6041666666666666	0.5401656735283495	0.47616468039003246	0.6041666666666666	0.12800198627663417	59	0.36353771025501896	0	1	0	1.085571598218901	0.2896984855829794	0.3022554757028195	0.03619677568983824
PRIMARY	random_forest	Frankel_US	Gopalakrishnan_US	0.5974025974025974	0.35	0.4737012987012987	0.35	0.5974025974025974	0.2474025974025974	14	0.055384615384615365	0	1	0	1.4601102198390727	0.5138555257100887	0.457773044074274	0.0727642304785162
PRIMARY	random_forest	Frankel_US	Lee_Barcelona	0.6666666666666666	0.5125	0.5895833333333333	0.5125	0.6666666666666666	0.15416666666666667	27	0.11538461538461542	0	0	1	2.148005799674066	0.5625705120362823	0.5030899391825384	0.08056573056573058
PRIMARY	random_forest	Frankel_US	Lee_Leeds	0.23750000000000002	0.4333333333333333	0.33541666666666664	0.23750000000000002	0.4333333333333333	0.19583333333333328	21	0.05982905982905984	0	0	1	2.0000659164923533	0.43330674562958954	0.39824176658373817	0.06973855069093164
